[time=2]:[N=32768 current nodes UP],[Susceptible= 32767],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=32768 current nodes UP],[Susceptible= 32757],[remove = 0], [ incrementalVisited = 10] ,[totalVisited = 11] 
[time=4]:[N=32768 current nodes UP],[Susceptible= 30687],[remove = 1965], [ incrementalVisited = 105] ,[totalVisited = 116] 
[time=5]:[N=32768 current nodes UP],[Susceptible= 27857],[remove = 3811], [ incrementalVisited = 989] ,[totalVisited = 1100] 
[time=6]:[N=32768 current nodes UP],[Susceptible= 19193],[remove = 5537], [ incrementalVisited = 6993] ,[totalVisited = 8038] 
[time=7]:[N=32768 current nodes UP],[Susceptible= 2412],[remove = 7089], [ incrementalVisited = 15630] ,[totalVisited = 23267] 
[time=8]:[N=32768 current nodes UP],[Susceptible= 11],[remove = 8396], [ incrementalVisited = 2257] ,[totalVisited = 24361] 
[time=9]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 9614], [ incrementalVisited = 7] ,[totalVisited = 23150] 
[time=10]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 10771], [ incrementalVisited = 0] ,[totalVisited = 21993] 
[time=11]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 11870], [ incrementalVisited = 0] ,[totalVisited = 20894] 
[time=12]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 12914], [ incrementalVisited = 0] ,[totalVisited = 19850] 
[time=13]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 13906], [ incrementalVisited = 0] ,[totalVisited = 18858] 
[time=14]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 14848], [ incrementalVisited = 0] ,[totalVisited = 17916] 
[time=15]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 15743], [ incrementalVisited = 0] ,[totalVisited = 17021] 
[time=16]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 16594], [ incrementalVisited = 0] ,[totalVisited = 16170] 
[time=17]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 17402], [ incrementalVisited = 0] ,[totalVisited = 15362] 
[time=18]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 18170], [ incrementalVisited = 0] ,[totalVisited = 14594] 
[time=19]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 18899], [ incrementalVisited = 0] ,[totalVisited = 13865] 
[time=20]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 19592], [ incrementalVisited = 0] ,[totalVisited = 13172] 
[time=21]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 20250], [ incrementalVisited = 0] ,[totalVisited = 12514] 
[time=22]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 20875], [ incrementalVisited = 0] ,[totalVisited = 11889] 
[time=23]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 21469], [ incrementalVisited = 0] ,[totalVisited = 11295] 
[time=24]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 22033], [ incrementalVisited = 0] ,[totalVisited = 10731] 
[time=25]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 22569], [ incrementalVisited = 0] ,[totalVisited = 10195] 
[time=26]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 23078], [ incrementalVisited = 0] ,[totalVisited = 9686] 
[time=27]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 23562], [ incrementalVisited = 0] ,[totalVisited = 9202] 
[time=28]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 24022], [ incrementalVisited = 0] ,[totalVisited = 8742] 
[time=29]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 24459], [ incrementalVisited = 0] ,[totalVisited = 8305] 
[time=30]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 24874], [ incrementalVisited = 0] ,[totalVisited = 7890] 
[time=31]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 25268], [ incrementalVisited = 0] ,[totalVisited = 7496] 
[time=32]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 25642], [ incrementalVisited = 0] ,[totalVisited = 7122] 
[time=33]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 25998], [ incrementalVisited = 0] ,[totalVisited = 6766] 
[time=34]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 26336], [ incrementalVisited = 0] ,[totalVisited = 6428] 
[time=35]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 26657], [ incrementalVisited = 0] ,[totalVisited = 6107] 
[time=36]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 26962], [ incrementalVisited = 0] ,[totalVisited = 5802] 
[time=37]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 27252], [ incrementalVisited = 0] ,[totalVisited = 5512] 
[time=38]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 27527], [ incrementalVisited = 0] ,[totalVisited = 5237] 
[time=39]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 27788], [ incrementalVisited = 0] ,[totalVisited = 4976] 
[time=40]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 28036], [ incrementalVisited = 0] ,[totalVisited = 4728] 
[time=41]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 28272], [ incrementalVisited = 0] ,[totalVisited = 4492] 
[time=42]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 28496], [ incrementalVisited = 0] ,[totalVisited = 4268] 
[time=43]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 28709], [ incrementalVisited = 0] ,[totalVisited = 4055] 
[time=44]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 28911], [ incrementalVisited = 0] ,[totalVisited = 3853] 
[time=45]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29103], [ incrementalVisited = 0] ,[totalVisited = 3661] 
[time=46]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29286], [ incrementalVisited = 0] ,[totalVisited = 3478] 
[time=47]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29459], [ incrementalVisited = 0] ,[totalVisited = 3305] 
[time=48]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29624], [ incrementalVisited = 0] ,[totalVisited = 3140] 
[time=49]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29781], [ incrementalVisited = 0] ,[totalVisited = 2983] 
[time=50]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 29930], [ incrementalVisited = 0] ,[totalVisited = 2834] 
[time=51]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30071], [ incrementalVisited = 0] ,[totalVisited = 2693] 
[time=52]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30205], [ incrementalVisited = 0] ,[totalVisited = 2559] 
[time=53]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30332], [ incrementalVisited = 0] ,[totalVisited = 2432] 
[time=54]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30453], [ incrementalVisited = 0] ,[totalVisited = 2311] 
[time=55]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30568], [ incrementalVisited = 0] ,[totalVisited = 2196] 
[time=56]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30677], [ incrementalVisited = 0] ,[totalVisited = 2087] 
[time=57]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30781], [ incrementalVisited = 0] ,[totalVisited = 1983] 
[time=58]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30880], [ incrementalVisited = 0] ,[totalVisited = 1884] 
[time=59]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 30974], [ incrementalVisited = 0] ,[totalVisited = 1790] 
[time=60]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31063], [ incrementalVisited = 0] ,[totalVisited = 1701] 
[time=61]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31148], [ incrementalVisited = 0] ,[totalVisited = 1616] 
[time=62]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31228], [ incrementalVisited = 0] ,[totalVisited = 1536] 
[time=63]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31304], [ incrementalVisited = 0] ,[totalVisited = 1460] 
[time=64]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31377], [ incrementalVisited = 0] ,[totalVisited = 1387] 
[time=65]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31446], [ incrementalVisited = 0] ,[totalVisited = 1318] 
[time=66]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31511], [ incrementalVisited = 0] ,[totalVisited = 1253] 
[time=67]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31573], [ incrementalVisited = 0] ,[totalVisited = 1191] 
[time=68]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31632], [ incrementalVisited = 0] ,[totalVisited = 1132] 
[time=69]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31688], [ incrementalVisited = 0] ,[totalVisited = 1076] 
[time=70]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31741], [ incrementalVisited = 0] ,[totalVisited = 1023] 
[time=71]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31792], [ incrementalVisited = 0] ,[totalVisited = 972] 
[time=72]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31840], [ incrementalVisited = 0] ,[totalVisited = 924] 
[time=73]:[N=32768 current nodes UP],[Susceptible= 4],[remove = 31886], [ incrementalVisited = 0] ,[totalVisited = 878] 
