[time=2]:[N=524288 current nodes UP],[Susceptible= 524287],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=524288 current nodes UP],[Susceptible= 524277],[remove = 0], [ incrementalVisited = 10] ,[totalVisited = 11] 
[time=4]:[N=524288 current nodes UP],[Susceptible= 492707],[remove = 31456], [ incrementalVisited = 114] ,[totalVisited = 125] 
[time=5]:[N=524288 current nodes UP],[Susceptible= 461923],[remove = 61024], [ incrementalVisited = 1222] ,[totalVisited = 1341] 
[time=6]:[N=524288 current nodes UP],[Susceptible= 422114],[remove = 88806], [ incrementalVisited = 12094] ,[totalVisited = 13368] 
[time=7]:[N=524288 current nodes UP],[Susceptible= 303089],[remove = 114800], [ incrementalVisited = 93699] ,[totalVisited = 106399] 
[time=8]:[N=524288 current nodes UP],[Susceptible= 41063],[remove = 138304], [ incrementalVisited = 243841] ,[totalVisited = 344921] 
[time=9]:[N=524288 current nodes UP],[Susceptible= 84],[remove = 158013], [ incrementalVisited = 38516] ,[totalVisited = 366191] 
[time=10]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 176327], [ incrementalVisited = 63] ,[totalVisited = 347945] 
[time=11]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 193724], [ incrementalVisited = 0] ,[totalVisited = 330548] 
[time=12]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 210251], [ incrementalVisited = 0] ,[totalVisited = 314021] 
[time=13]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 225952], [ incrementalVisited = 0] ,[totalVisited = 298320] 
[time=14]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 240868], [ incrementalVisited = 0] ,[totalVisited = 283404] 
[time=15]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 255038], [ incrementalVisited = 0] ,[totalVisited = 269234] 
[time=16]:[N=524288 current nodes UP],[Susceptible= 16],[remove = 268499], [ incrementalVisited = 0] ,[totalVisited = 255773] 
