[time=51]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 60166], [ incrementalVisited = 0] ,[totalVisited = 5368] 
[time=52]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 60434], [ incrementalVisited = 0] ,[totalVisited = 5100] 
[time=53]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 60689], [ incrementalVisited = 0] ,[totalVisited = 4845] 
[time=54]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 60931], [ incrementalVisited = 0] ,[totalVisited = 4603] 
[time=55]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 61161], [ incrementalVisited = 0] ,[totalVisited = 4373] 
[time=56]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 61379], [ incrementalVisited = 0] ,[totalVisited = 4155] 
[time=57]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 61586], [ incrementalVisited = 0] ,[totalVisited = 3948] 
[time=58]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 61783], [ incrementalVisited = 0] ,[totalVisited = 3751] 
[time=59]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 61970], [ incrementalVisited = 0] ,[totalVisited = 3564] 
[time=60]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62148], [ incrementalVisited = 0] ,[totalVisited = 3386] 
[time=61]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62317], [ incrementalVisited = 0] ,[totalVisited = 3217] 
[time=62]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62477], [ incrementalVisited = 0] ,[totalVisited = 3057] 
[time=63]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62629], [ incrementalVisited = 0] ,[totalVisited = 2905] 
[time=64]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62774], [ incrementalVisited = 0] ,[totalVisited = 2760] 
[time=65]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 62912], [ incrementalVisited = 0] ,[totalVisited = 2622] 
[time=66]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63043], [ incrementalVisited = 0] ,[totalVisited = 2491] 
[time=67]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63167], [ incrementalVisited = 0] ,[totalVisited = 2367] 
[time=68]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63285], [ incrementalVisited = 0] ,[totalVisited = 2249] 
[time=69]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63397], [ incrementalVisited = 0] ,[totalVisited = 2137] 
[time=70]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63503], [ incrementalVisited = 0] ,[totalVisited = 2031] 
[time=71]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63604], [ incrementalVisited = 0] ,[totalVisited = 1930] 
[time=72]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63700], [ incrementalVisited = 0] ,[totalVisited = 1834] 
[time=73]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63791], [ incrementalVisited = 0] ,[totalVisited = 1743] 
[time=74]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63878], [ incrementalVisited = 0] ,[totalVisited = 1656] 
[time=75]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 63960], [ incrementalVisited = 0] ,[totalVisited = 1574] 
[time=76]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64038], [ incrementalVisited = 0] ,[totalVisited = 1496] 
[time=77]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64112], [ incrementalVisited = 0] ,[totalVisited = 1422] 
[time=78]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64183], [ incrementalVisited = 0] ,[totalVisited = 1351] 
[time=79]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64250], [ incrementalVisited = 0] ,[totalVisited = 1284] 
[time=80]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64314], [ incrementalVisited = 0] ,[totalVisited = 1220] 
[time=81]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64375], [ incrementalVisited = 0] ,[totalVisited = 1159] 
[time=82]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64432], [ incrementalVisited = 0] ,[totalVisited = 1102] 
[time=83]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64487], [ incrementalVisited = 0] ,[totalVisited = 1047] 
[time=84]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64539], [ incrementalVisited = 0] ,[totalVisited = 995] 
[time=85]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64588], [ incrementalVisited = 0] ,[totalVisited = 946] 
[time=86]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64635], [ incrementalVisited = 0] ,[totalVisited = 899] 
[time=87]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64679], [ incrementalVisited = 0] ,[totalVisited = 855] 
[time=88]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64721], [ incrementalVisited = 0] ,[totalVisited = 813] 
[time=89]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64761], [ incrementalVisited = 0] ,[totalVisited = 773] 
[time=90]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64799], [ incrementalVisited = 0] ,[totalVisited = 735] 
[time=91]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64835], [ incrementalVisited = 0] ,[totalVisited = 699] 
[time=92]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64869], [ incrementalVisited = 0] ,[totalVisited = 665] 
[time=93]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64902], [ incrementalVisited = 0] ,[totalVisited = 632] 
[time=94]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64933], [ incrementalVisited = 0] ,[totalVisited = 601] 
[time=95]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64963], [ incrementalVisited = 0] ,[totalVisited = 571] 
[time=96]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 64991], [ incrementalVisited = 0] ,[totalVisited = 543] 
[time=97]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 65018], [ incrementalVisited = 0] ,[totalVisited = 516] 
[time=98]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 65043], [ incrementalVisited = 0] ,[totalVisited = 491] 
[time=99]:[N=65536 current nodes UP],[Susceptible= 2],[remove = 65067], [ incrementalVisited = 0] ,[totalVisited = 467] 
