[time=2]:[N=262144 current nodes UP],[Susceptible= 262143],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=262144 current nodes UP],[Susceptible= 262131],[remove = 0], [ incrementalVisited = 12] ,[totalVisited = 13] 
[time=4]:[N=262144 current nodes UP],[Susceptible= 246259],[remove = 15727], [ incrementalVisited = 145] ,[totalVisited = 158] 
[time=5]:[N=262144 current nodes UP],[Susceptible= 229963],[remove = 30509], [ incrementalVisited = 1521] ,[totalVisited = 1672] 
[time=6]:[N=262144 current nodes UP],[Susceptible= 201965],[remove = 44389], [ incrementalVisited = 14201] ,[totalVisited = 15790] 
[time=7]:[N=262144 current nodes UP],[Susceptible= 105357],[remove = 57295], [ incrementalVisited = 84491] ,[totalVisited = 99492] 
[time=8]:[N=262144 current nodes UP],[Susceptible= 2980],[remove = 68590], [ incrementalVisited = 96056] ,[totalVisited = 190574] 
[time=9]:[N=262144 current nodes UP],[Susceptible= 14],[remove = 78296], [ incrementalVisited = 2788] ,[totalVisited = 183834] 
[time=10]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 87487], [ incrementalVisited = 2] ,[totalVisited = 174645] 
[time=11]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 96219], [ incrementalVisited = 0] ,[totalVisited = 165913] 
[time=12]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 104514], [ incrementalVisited = 0] ,[totalVisited = 157618] 
[time=13]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 112394], [ incrementalVisited = 0] ,[totalVisited = 149738] 
[time=14]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 119880], [ incrementalVisited = 0] ,[totalVisited = 142252] 
[time=15]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 126992], [ incrementalVisited = 0] ,[totalVisited = 135140] 
[time=16]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 133749], [ incrementalVisited = 0] ,[totalVisited = 128383] 
[time=17]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 140168], [ incrementalVisited = 0] ,[totalVisited = 121964] 
[time=18]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 146266], [ incrementalVisited = 0] ,[totalVisited = 115866] 
[time=19]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 152059], [ incrementalVisited = 0] ,[totalVisited = 110073] 
[time=20]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 157562], [ incrementalVisited = 0] ,[totalVisited = 104570] 
[time=21]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 162790], [ incrementalVisited = 0] ,[totalVisited = 99342] 
[time=22]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 167757], [ incrementalVisited = 0] ,[totalVisited = 94375] 
[time=23]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 172475], [ incrementalVisited = 0] ,[totalVisited = 89657] 
[time=24]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 176957], [ incrementalVisited = 0] ,[totalVisited = 85175] 
[time=25]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 181215], [ incrementalVisited = 0] ,[totalVisited = 80917] 
[time=26]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 185260], [ incrementalVisited = 0] ,[totalVisited = 76872] 
[time=27]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 189103], [ incrementalVisited = 0] ,[totalVisited = 73029] 
[time=28]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 192754], [ incrementalVisited = 0] ,[totalVisited = 69378] 
[time=29]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 196222], [ incrementalVisited = 0] ,[totalVisited = 65910] 
[time=30]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 199517], [ incrementalVisited = 0] ,[totalVisited = 62615] 
[time=31]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 202647], [ incrementalVisited = 0] ,[totalVisited = 59485] 
[time=32]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 205621], [ incrementalVisited = 0] ,[totalVisited = 56511] 
[time=33]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 208446], [ incrementalVisited = 0] ,[totalVisited = 53686] 
[time=34]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 211130], [ incrementalVisited = 0] ,[totalVisited = 51002] 
[time=35]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 213680], [ incrementalVisited = 0] ,[totalVisited = 48452] 
[time=36]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 216102], [ incrementalVisited = 0] ,[totalVisited = 46030] 
[time=37]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 218403], [ incrementalVisited = 0] ,[totalVisited = 43729] 
[time=38]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 220589], [ incrementalVisited = 0] ,[totalVisited = 41543] 
[time=39]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 222666], [ incrementalVisited = 0] ,[totalVisited = 39466] 
[time=40]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 224639], [ incrementalVisited = 0] ,[totalVisited = 37493] 
[time=41]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 226513], [ incrementalVisited = 0] ,[totalVisited = 35619] 
[time=42]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 228293], [ incrementalVisited = 0] ,[totalVisited = 33839] 
[time=43]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 229984], [ incrementalVisited = 0] ,[totalVisited = 32148] 
[time=44]:[N=262144 current nodes UP],[Susceptible= 12],[remove = 231591], [ incrementalVisited = 0] ,[totalVisited = 30541] 
