[time=2]:[N=131072 current nodes UP],[Susceptible= 131071],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=131072 current nodes UP],[Susceptible= 131058],[remove = 0], [ incrementalVisited = 13] ,[totalVisited = 14] 
[time=4]:[N=131072 current nodes UP],[Susceptible= 123050],[remove = 7863], [ incrementalVisited = 145] ,[totalVisited = 159] 
[time=5]:[N=131072 current nodes UP],[Susceptible= 114147],[remove = 15253], [ incrementalVisited = 1520] ,[totalVisited = 1672] 
[time=6]:[N=131072 current nodes UP],[Susceptible= 94125],[remove = 22184], [ incrementalVisited = 13174] ,[totalVisited = 14763] 
[time=7]:[N=131072 current nodes UP],[Susceptible= 31609],[remove = 28569], [ incrementalVisited = 56869] ,[totalVisited = 70894] 
[time=8]:[N=131072 current nodes UP],[Susceptible= 214],[remove = 34009], [ incrementalVisited = 29499] ,[totalVisited = 96849] 
[time=9]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 38863], [ incrementalVisited = 195] ,[totalVisited = 92202] 
[time=10]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 43473], [ incrementalVisited = 0] ,[totalVisited = 87592] 
[time=11]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 47852], [ incrementalVisited = 0] ,[totalVisited = 83213] 
[time=12]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 52012], [ incrementalVisited = 0] ,[totalVisited = 79053] 
[time=13]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 55964], [ incrementalVisited = 0] ,[totalVisited = 75101] 
[time=14]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 59719], [ incrementalVisited = 0] ,[totalVisited = 71346] 
[time=15]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 63286], [ incrementalVisited = 0] ,[totalVisited = 67779] 
[time=16]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 66674], [ incrementalVisited = 0] ,[totalVisited = 64391] 
[time=17]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 69893], [ incrementalVisited = 0] ,[totalVisited = 61172] 
[time=18]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 72951], [ incrementalVisited = 0] ,[totalVisited = 58114] 
[time=19]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 75856], [ incrementalVisited = 0] ,[totalVisited = 55209] 
[time=20]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 78616], [ incrementalVisited = 0] ,[totalVisited = 52449] 
[time=21]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 81238], [ incrementalVisited = 0] ,[totalVisited = 49827] 
[time=22]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 83729], [ incrementalVisited = 0] ,[totalVisited = 47336] 
[time=23]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 86095], [ incrementalVisited = 0] ,[totalVisited = 44970] 
[time=24]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 88343], [ incrementalVisited = 0] ,[totalVisited = 42722] 
[time=25]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 90479], [ incrementalVisited = 0] ,[totalVisited = 40586] 
[time=26]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 92508], [ incrementalVisited = 0] ,[totalVisited = 38557] 
[time=27]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 94435], [ incrementalVisited = 0] ,[totalVisited = 36630] 
[time=28]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 96266], [ incrementalVisited = 0] ,[totalVisited = 34799] 
[time=29]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 98005], [ incrementalVisited = 0] ,[totalVisited = 33060] 
[time=30]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 99658], [ incrementalVisited = 0] ,[totalVisited = 31407] 
[time=31]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 101228], [ incrementalVisited = 0] ,[totalVisited = 29837] 
[time=32]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 102719], [ incrementalVisited = 0] ,[totalVisited = 28346] 
[time=33]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 104136], [ incrementalVisited = 0] ,[totalVisited = 26929] 
[time=34]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 105482], [ incrementalVisited = 0] ,[totalVisited = 25583] 
[time=35]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 106761], [ incrementalVisited = 0] ,[totalVisited = 24304] 
[time=36]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 107976], [ incrementalVisited = 0] ,[totalVisited = 23089] 
[time=37]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 109130], [ incrementalVisited = 0] ,[totalVisited = 21935] 
[time=38]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 110226], [ incrementalVisited = 0] ,[totalVisited = 20839] 
[time=39]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 111267], [ incrementalVisited = 0] ,[totalVisited = 19798] 
[time=40]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 112256], [ incrementalVisited = 0] ,[totalVisited = 18809] 
[time=41]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 113196], [ incrementalVisited = 0] ,[totalVisited = 17869] 
[time=42]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 114089], [ incrementalVisited = 0] ,[totalVisited = 16976] 
[time=43]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 114937], [ incrementalVisited = 0] ,[totalVisited = 16128] 
[time=44]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 115743], [ incrementalVisited = 0] ,[totalVisited = 15322] 
[time=45]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 116509], [ incrementalVisited = 0] ,[totalVisited = 14556] 
[time=46]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 117236], [ incrementalVisited = 0] ,[totalVisited = 13829] 
[time=47]:[N=131072 current nodes UP],[Susceptible= 7],[remove = 117927], [ incrementalVisited = 0] ,[totalVisited = 13138] 
