[time=2]:[N=32768 current nodes UP],[Susceptible= 32767],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=32768 current nodes UP],[Susceptible= 32761],[remove = 0], [ incrementalVisited = 6] ,[totalVisited = 7] 
[time=4]:[N=32768 current nodes UP],[Susceptible= 31958],[remove = 786], [ incrementalVisited = 17] ,[totalVisited = 24] 
[time=5]:[N=32768 current nodes UP],[Susceptible= 30808],[remove = 1898], [ incrementalVisited = 38] ,[totalVisited = 62] 
[time=6]:[N=32768 current nodes UP],[Susceptible= 29267],[remove = 3323], [ incrementalVisited = 118] ,[totalVisited = 178] 
[time=7]:[N=32768 current nodes UP],[Susceptible= 27346],[remove = 4928], [ incrementalVisited = 324] ,[totalVisited = 494] 
[time=8]:[N=32768 current nodes UP],[Susceptible= 24824],[remove = 6576], [ incrementalVisited = 898] ,[totalVisited = 1368] 
[time=9]:[N=32768 current nodes UP],[Susceptible= 21203],[remove = 8125], [ incrementalVisited = 2140] ,[totalVisited = 3440] 
[time=10]:[N=32768 current nodes UP],[Susceptible= 15821],[remove = 9547], [ incrementalVisited = 4129] ,[totalVisited = 7400] 
[time=11]:[N=32768 current nodes UP],[Susceptible= 9153],[remove = 10831], [ incrementalVisited = 5744] ,[totalVisited = 12784] 
[time=12]:[N=32768 current nodes UP],[Susceptible= 3762],[remove = 11967], [ incrementalVisited = 4866] ,[totalVisited = 17039] 
[time=13]:[N=32768 current nodes UP],[Susceptible= 1133],[remove = 13006], [ incrementalVisited = 2412] ,[totalVisited = 18629] 
[time=14]:[N=32768 current nodes UP],[Susceptible= 324],[remove = 13974], [ incrementalVisited = 744] ,[totalVisited = 18470] 
[time=15]:[N=32768 current nodes UP],[Susceptible= 95],[remove = 14896], [ incrementalVisited = 210] ,[totalVisited = 17777] 
[time=16]:[N=32768 current nodes UP],[Susceptible= 31],[remove = 15776], [ incrementalVisited = 59] ,[totalVisited = 16961] 
[time=17]:[N=32768 current nodes UP],[Susceptible= 12],[remove = 16548], [ incrementalVisited = 18] ,[totalVisited = 16208] 
[time=18]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 17196], [ incrementalVisited = 2] ,[totalVisited = 15562] 
[time=19]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 17748], [ incrementalVisited = 0] ,[totalVisited = 15010] 
[time=20]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 18213], [ incrementalVisited = 0] ,[totalVisited = 14545] 
[time=21]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 18583], [ incrementalVisited = 0] ,[totalVisited = 14175] 
[time=22]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 18852], [ incrementalVisited = 0] ,[totalVisited = 13906] 
[time=23]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19046], [ incrementalVisited = 0] ,[totalVisited = 13712] 
[time=24]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19189], [ incrementalVisited = 0] ,[totalVisited = 13569] 
[time=25]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19324], [ incrementalVisited = 0] ,[totalVisited = 13434] 
[time=26]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19471], [ incrementalVisited = 0] ,[totalVisited = 13287] 
[time=27]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19670], [ incrementalVisited = 0] ,[totalVisited = 13088] 
[time=28]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 19931], [ incrementalVisited = 0] ,[totalVisited = 12827] 
[time=29]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 20302], [ incrementalVisited = 0] ,[totalVisited = 12456] 
[time=30]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 20781], [ incrementalVisited = 0] ,[totalVisited = 11977] 
[time=31]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 21325], [ incrementalVisited = 0] ,[totalVisited = 11433] 
[time=32]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 21890], [ incrementalVisited = 0] ,[totalVisited = 10868] 
[time=33]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 22430], [ incrementalVisited = 0] ,[totalVisited = 10328] 
[time=34]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 22938], [ incrementalVisited = 0] ,[totalVisited = 9820] 
[time=35]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 23416], [ incrementalVisited = 0] ,[totalVisited = 9342] 
[time=36]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 23863], [ incrementalVisited = 0] ,[totalVisited = 8895] 
[time=37]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 24292], [ incrementalVisited = 0] ,[totalVisited = 8466] 
[time=38]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 24702], [ incrementalVisited = 0] ,[totalVisited = 8056] 
[time=39]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 25095], [ incrementalVisited = 0] ,[totalVisited = 7663] 
[time=40]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 25472], [ incrementalVisited = 0] ,[totalVisited = 7286] 
[time=41]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 25803], [ incrementalVisited = 0] ,[totalVisited = 6955] 
[time=42]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 26081], [ incrementalVisited = 0] ,[totalVisited = 6677] 
[time=43]:[N=32768 current nodes UP],[Susceptible= 10],[remove = 26318], [ incrementalVisited = 0] ,[totalVisited = 6440] 
