[time=2]:[N=262144 current nodes UP],[Susceptible= 262143],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=262144 current nodes UP],[Susceptible= 262125],[remove = 0], [ incrementalVisited = 18] ,[totalVisited = 19] 
[time=4]:[N=262144 current nodes UP],[Susceptible= 262071],[remove = 0], [ incrementalVisited = 54] ,[totalVisited = 73] 
[time=5]:[N=262144 current nodes UP],[Susceptible= 261707],[remove = 0], [ incrementalVisited = 364] ,[totalVisited = 437] 
[time=6]:[N=262144 current nodes UP],[Susceptible= 259342],[remove = 0], [ incrementalVisited = 2365] ,[totalVisited = 2802] 
[time=7]:[N=262144 current nodes UP],[Susceptible= 250602],[remove = 0], [ incrementalVisited = 8740] ,[totalVisited = 11542] 
[time=8]:[N=262144 current nodes UP],[Susceptible= 231177],[remove = 0], [ incrementalVisited = 19425] ,[totalVisited = 30967] 
[time=9]:[N=262144 current nodes UP],[Susceptible= 199297],[remove = 0], [ incrementalVisited = 31880] ,[totalVisited = 62847] 
[time=10]:[N=262144 current nodes UP],[Susceptible= 156067],[remove = 0], [ incrementalVisited = 43230] ,[totalVisited = 106077] 
[time=11]:[N=262144 current nodes UP],[Susceptible= 108076],[remove = 0], [ incrementalVisited = 47991] ,[totalVisited = 154068] 
[time=12]:[N=262144 current nodes UP],[Susceptible= 64910],[remove = 0], [ incrementalVisited = 43166] ,[totalVisited = 197234] 
[time=13]:[N=262144 current nodes UP],[Susceptible= 32371],[remove = 0], [ incrementalVisited = 32539] ,[totalVisited = 229773] 
[time=14]:[N=262144 current nodes UP],[Susceptible= 13249],[remove = 0], [ incrementalVisited = 19122] ,[totalVisited = 248895] 
[time=15]:[N=262144 current nodes UP],[Susceptible= 4255],[remove = 0], [ incrementalVisited = 8994] ,[totalVisited = 257889] 
[time=16]:[N=262144 current nodes UP],[Susceptible= 1044],[remove = 0], [ incrementalVisited = 3211] ,[totalVisited = 261100] 
[time=17]:[N=262144 current nodes UP],[Susceptible= 247],[remove = 0], [ incrementalVisited = 797] ,[totalVisited = 261897] 
[time=18]:[N=262144 current nodes UP],[Susceptible= 73],[remove = 0], [ incrementalVisited = 174] ,[totalVisited = 262071] 
[time=19]:[N=262144 current nodes UP],[Susceptible= 35],[remove = 0], [ incrementalVisited = 38] ,[totalVisited = 262109] 
[time=20]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 9] ,[totalVisited = 262118] 
[time=21]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=22]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=23]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=24]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=25]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=26]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=27]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=28]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=29]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=30]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=31]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=32]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=33]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=34]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=35]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=36]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=37]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=38]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
[time=39]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 262118] 
