[time=50]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 962985], [ incrementalVisited = 0] ,[totalVisited = 85591] 
[time=51]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 967264], [ incrementalVisited = 0] ,[totalVisited = 81312] 
[time=52]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 971329], [ incrementalVisited = 0] ,[totalVisited = 77247] 
[time=53]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 975191], [ incrementalVisited = 0] ,[totalVisited = 73385] 
[time=54]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 978860], [ incrementalVisited = 0] ,[totalVisited = 69716] 
[time=55]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 982345], [ incrementalVisited = 0] ,[totalVisited = 66231] 
[time=56]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 985656], [ incrementalVisited = 0] ,[totalVisited = 62920] 
[time=57]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 988802], [ incrementalVisited = 0] ,[totalVisited = 59774] 
[time=58]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 991790], [ incrementalVisited = 0] ,[totalVisited = 56786] 
[time=59]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 994629], [ incrementalVisited = 0] ,[totalVisited = 53947] 
[time=60]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 997326], [ incrementalVisited = 0] ,[totalVisited = 51250] 
[time=61]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 999888], [ incrementalVisited = 0] ,[totalVisited = 48688] 
[time=62]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1002322], [ incrementalVisited = 0] ,[totalVisited = 46254] 
[time=63]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1004634], [ incrementalVisited = 0] ,[totalVisited = 43942] 
[time=64]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1006831], [ incrementalVisited = 0] ,[totalVisited = 41745] 
[time=65]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1008918], [ incrementalVisited = 0] ,[totalVisited = 39658] 
[time=66]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1010900], [ incrementalVisited = 0] ,[totalVisited = 37676] 
