[time=2]:[N=2097152 current nodes UP],[Susceptible= 2097151],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=2097152 current nodes UP],[Susceptible= 2097130],[remove = 0], [ incrementalVisited = 21] ,[totalVisited = 22] 
[time=4]:[N=2097152 current nodes UP],[Susceptible= 1971106],[remove = 125828], [ incrementalVisited = 197] ,[totalVisited = 218] 
[time=5]:[N=2097152 current nodes UP],[Susceptible= 1851675],[remove = 244104], [ incrementalVisited = 1165] ,[totalVisited = 1373] 
[time=6]:[N=2097152 current nodes UP],[Susceptible= 1735609],[remove = 355272], [ incrementalVisited = 4966] ,[totalVisited = 6271] 
[time=7]:[N=2097152 current nodes UP],[Susceptible= 1615466],[remove = 459721], [ incrementalVisited = 16007] ,[totalVisited = 21965] 
[time=8]:[N=2097152 current nodes UP],[Susceptible= 1478677],[remove = 557746], [ incrementalVisited = 39862] ,[totalVisited = 60729] 
[time=9]:[N=2097152 current nodes UP],[Susceptible= 1309793],[remove = 649502], [ incrementalVisited = 80164] ,[totalVisited = 137857] 
[time=10]:[N=2097152 current nodes UP],[Susceptible= 1099459],[remove = 734981], [ incrementalVisited = 131747] ,[totalVisited = 262712] 
[time=11]:[N=2097152 current nodes UP],[Susceptible= 854136],[remove = 814083], [ incrementalVisited = 179356] ,[totalVisited = 428933] 
[time=12]:[N=2097152 current nodes UP],[Susceptible= 600885],[remove = 886777], [ incrementalVisited = 202003] ,[totalVisited = 609490] 
[time=13]:[N=2097152 current nodes UP],[Susceptible= 374770],[remove = 953304], [ incrementalVisited = 190062] ,[totalVisited = 769078] 
[time=14]:[N=2097152 current nodes UP],[Susceptible= 203392],[remove = 1014243], [ incrementalVisited = 148892] ,[totalVisited = 879517] 
[time=15]:[N=2097152 current nodes UP],[Susceptible= 94374],[remove = 1070421], [ incrementalVisited = 96815] ,[totalVisited = 932357] 
[time=16]:[N=2097152 current nodes UP],[Susceptible= 36592],[remove = 1122700], [ incrementalVisited = 52120] ,[totalVisited = 937860] 
[time=17]:[N=2097152 current nodes UP],[Susceptible= 11631],[remove = 1171788], [ incrementalVisited = 22766] ,[totalVisited = 913733] 
[time=18]:[N=2097152 current nodes UP],[Susceptible= 2996],[remove = 1218171], [ incrementalVisited = 7938] ,[totalVisited = 875985] 
[time=19]:[N=2097152 current nodes UP],[Susceptible= 605],[remove = 1262149], [ incrementalVisited = 2212] ,[totalVisited = 834398] 
[time=20]:[N=2097152 current nodes UP],[Susceptible= 91],[remove = 1303904], [ incrementalVisited = 478] ,[totalVisited = 793157] 
[time=21]:[N=2097152 current nodes UP],[Susceptible= 7],[remove = 1343566], [ incrementalVisited = 79] ,[totalVisited = 753579] 
[time=22]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1381244], [ incrementalVisited = 7] ,[totalVisited = 715908] 
[time=23]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1417039], [ incrementalVisited = 0] ,[totalVisited = 680113] 
[time=24]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1451044], [ incrementalVisited = 0] ,[totalVisited = 646108] 
[time=25]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1483349], [ incrementalVisited = 0] ,[totalVisited = 613803] 
[time=26]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1514039], [ incrementalVisited = 0] ,[totalVisited = 583113] 
[time=27]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1543194], [ incrementalVisited = 0] ,[totalVisited = 553958] 
[time=28]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1570891], [ incrementalVisited = 0] ,[totalVisited = 526261] 
[time=29]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1597204], [ incrementalVisited = 0] ,[totalVisited = 499948] 
[time=30]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1622201], [ incrementalVisited = 0] ,[totalVisited = 474951] 
[time=31]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1645948], [ incrementalVisited = 0] ,[totalVisited = 451204] 
[time=32]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1668508], [ incrementalVisited = 0] ,[totalVisited = 428644] 
[time=33]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1689940], [ incrementalVisited = 0] ,[totalVisited = 407212] 
[time=34]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1710300], [ incrementalVisited = 0] ,[totalVisited = 386852] 
[time=35]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1729642], [ incrementalVisited = 0] ,[totalVisited = 367510] 
[time=36]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1748017], [ incrementalVisited = 0] ,[totalVisited = 349135] 
[time=37]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1765473], [ incrementalVisited = 0] ,[totalVisited = 331679] 
[time=38]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1782056], [ incrementalVisited = 0] ,[totalVisited = 315096] 
[time=39]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1797810], [ incrementalVisited = 0] ,[totalVisited = 299342] 
[time=40]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1812777], [ incrementalVisited = 0] ,[totalVisited = 284375] 
[time=41]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1826995], [ incrementalVisited = 0] ,[totalVisited = 270157] 
[time=42]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1840502], [ incrementalVisited = 0] ,[totalVisited = 256650] 
[time=43]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1853334], [ incrementalVisited = 0] ,[totalVisited = 243818] 
[time=44]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1865524], [ incrementalVisited = 0] ,[totalVisited = 231628] 
[time=45]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1877105], [ incrementalVisited = 0] ,[totalVisited = 220047] 
[time=46]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1888107], [ incrementalVisited = 0] ,[totalVisited = 209045] 
[time=47]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1898559], [ incrementalVisited = 0] ,[totalVisited = 198593] 
[time=48]:[N=2097152 current nodes UP],[Susceptible= 0],[remove = 1908488], [ incrementalVisited = 0] ,[totalVisited = 188664] 
