[time=2]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=65536 current nodes UP],[Susceptible= 65530],[remove = 0], [ incrementalVisited = 5] ,[totalVisited = 6] 
[time=4]:[N=65536 current nodes UP],[Susceptible= 61580],[remove = 3931], [ incrementalVisited = 19] ,[totalVisited = 25] 
[time=5]:[N=65536 current nodes UP],[Susceptible= 57824],[remove = 7626], [ incrementalVisited = 62] ,[totalVisited = 86] 
[time=6]:[N=65536 current nodes UP],[Susceptible= 54170],[remove = 11099], [ incrementalVisited = 185] ,[totalVisited = 267] 
[time=7]:[N=65536 current nodes UP],[Susceptible= 50381],[remove = 14362], [ incrementalVisited = 539] ,[totalVisited = 793] 
[time=8]:[N=65536 current nodes UP],[Susceptible= 45976],[remove = 17423], [ incrementalVisited = 1383] ,[totalVisited = 2137] 
[time=9]:[N=65536 current nodes UP],[Susceptible= 39819],[remove = 20287], [ incrementalVisited = 3399] ,[totalVisited = 5430] 
[time=10]:[N=65536 current nodes UP],[Susceptible= 30750],[remove = 22947], [ incrementalVisited = 6680] ,[totalVisited = 11839] 
[time=11]:[N=65536 current nodes UP],[Susceptible= 18948],[remove = 25383], [ incrementalVisited = 9957] ,[totalVisited = 21205] 
[time=12]:[N=65536 current nodes UP],[Susceptible= 8492],[remove = 27579], [ incrementalVisited = 9320] ,[totalVisited = 29465] 
[time=13]:[N=65536 current nodes UP],[Susceptible= 2736],[remove = 29561], [ incrementalVisited = 5247] ,[totalVisited = 33239] 
[time=14]:[N=65536 current nodes UP],[Susceptible= 721],[remove = 31386], [ incrementalVisited = 1851] ,[totalVisited = 33429] 
[time=15]:[N=65536 current nodes UP],[Susceptible= 219],[remove = 33100], [ incrementalVisited = 459] ,[totalVisited = 32217] 
[time=16]:[N=65536 current nodes UP],[Susceptible= 64],[remove = 34723], [ incrementalVisited = 142] ,[totalVisited = 30749] 
[time=17]:[N=65536 current nodes UP],[Susceptible= 28],[remove = 36263], [ incrementalVisited = 33] ,[totalVisited = 29245] 
[time=18]:[N=65536 current nodes UP],[Susceptible= 19],[remove = 37726], [ incrementalVisited = 8] ,[totalVisited = 27791] 
[time=19]:[N=65536 current nodes UP],[Susceptible= 17],[remove = 39116], [ incrementalVisited = 1] ,[totalVisited = 26403] 
[time=20]:[N=65536 current nodes UP],[Susceptible= 15],[remove = 40437], [ incrementalVisited = 1] ,[totalVisited = 25084] 
[time=21]:[N=65536 current nodes UP],[Susceptible= 14],[remove = 41691], [ incrementalVisited = 1] ,[totalVisited = 23831] 
[time=22]:[N=65536 current nodes UP],[Susceptible= 14],[remove = 42882], [ incrementalVisited = 0] ,[totalVisited = 22640] 
[time=23]:[N=65536 current nodes UP],[Susceptible= 14],[remove = 44014], [ incrementalVisited = 0] ,[totalVisited = 21508] 
