[time=51]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30179], [ incrementalVisited = 0] ,[totalVisited = 2581] 
[time=52]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30308], [ incrementalVisited = 0] ,[totalVisited = 2452] 
[time=53]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30430], [ incrementalVisited = 0] ,[totalVisited = 2330] 
[time=54]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30546], [ incrementalVisited = 0] ,[totalVisited = 2214] 
[time=55]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30656], [ incrementalVisited = 0] ,[totalVisited = 2104] 
[time=56]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30761], [ incrementalVisited = 0] ,[totalVisited = 1999] 
[time=57]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30860], [ incrementalVisited = 0] ,[totalVisited = 1900] 
[time=58]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 30955], [ incrementalVisited = 0] ,[totalVisited = 1805] 
[time=59]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31045], [ incrementalVisited = 0] ,[totalVisited = 1715] 
[time=60]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31130], [ incrementalVisited = 0] ,[totalVisited = 1630] 
[time=61]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31211], [ incrementalVisited = 0] ,[totalVisited = 1549] 
[time=62]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31288], [ incrementalVisited = 0] ,[totalVisited = 1472] 
[time=63]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31361], [ incrementalVisited = 0] ,[totalVisited = 1399] 
[time=64]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31430], [ incrementalVisited = 0] ,[totalVisited = 1330] 
[time=65]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31496], [ incrementalVisited = 0] ,[totalVisited = 1264] 
