[time=2]:[N=131072 current nodes UP],[Susceptible= 131071],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=131072 current nodes UP],[Susceptible= 131064],[remove = 0], [ incrementalVisited = 7] ,[totalVisited = 8] 
[time=4]:[N=131072 current nodes UP],[Susceptible= 123182],[remove = 7863], [ incrementalVisited = 19] ,[totalVisited = 27] 
[time=5]:[N=131072 current nodes UP],[Susceptible= 115715],[remove = 15254], [ incrementalVisited = 77] ,[totalVisited = 103] 
[time=6]:[N=131072 current nodes UP],[Susceptible= 108555],[remove = 22201], [ incrementalVisited = 218] ,[totalVisited = 316] 
[time=7]:[N=131072 current nodes UP],[Susceptible= 101461],[remove = 28729], [ incrementalVisited = 581] ,[totalVisited = 882] 
[time=8]:[N=131072 current nodes UP],[Susceptible= 93880],[remove = 34860], [ incrementalVisited = 1494] ,[totalVisited = 2332] 
[time=9]:[N=131072 current nodes UP],[Susceptible= 84577],[remove = 40608], [ incrementalVisited = 3671] ,[totalVisited = 5887] 
[time=10]:[N=131072 current nodes UP],[Susceptible= 71522],[remove = 45976], [ incrementalVisited = 7981] ,[totalVisited = 13574] 
[time=11]:[N=131072 current nodes UP],[Susceptible= 53013],[remove = 50945], [ incrementalVisited = 14218] ,[totalVisited = 27114] 
[time=12]:[N=131072 current nodes UP],[Susceptible= 30876],[remove = 55480], [ incrementalVisited = 18957] ,[totalVisited = 44716] 
[time=13]:[N=131072 current nodes UP],[Susceptible= 13104],[remove = 59567], [ incrementalVisited = 15920] ,[totalVisited = 58401] 
[time=14]:[N=131072 current nodes UP],[Susceptible= 4080],[remove = 63273], [ incrementalVisited = 8238] ,[totalVisited = 63719] 
[time=15]:[N=131072 current nodes UP],[Susceptible= 1148],[remove = 66702], [ incrementalVisited = 2688] ,[totalVisited = 63222] 
[time=16]:[N=131072 current nodes UP],[Susceptible= 321],[remove = 69931], [ incrementalVisited = 759] ,[totalVisited = 60820] 
[time=17]:[N=131072 current nodes UP],[Susceptible= 99],[remove = 72991], [ incrementalVisited = 203] ,[totalVisited = 57982] 
[time=18]:[N=131072 current nodes UP],[Susceptible= 60],[remove = 75895], [ incrementalVisited = 34] ,[totalVisited = 55117] 
[time=19]:[N=131072 current nodes UP],[Susceptible= 46],[remove = 78653], [ incrementalVisited = 11] ,[totalVisited = 52373] 
[time=20]:[N=131072 current nodes UP],[Susceptible= 41],[remove = 81273], [ incrementalVisited = 3] ,[totalVisited = 49758] 
[time=21]:[N=131072 current nodes UP],[Susceptible= 39],[remove = 83762], [ incrementalVisited = 0] ,[totalVisited = 47271] 
[time=22]:[N=131072 current nodes UP],[Susceptible= 37],[remove = 86127], [ incrementalVisited = 0] ,[totalVisited = 44908] 
[time=23]:[N=131072 current nodes UP],[Susceptible= 35],[remove = 88374], [ incrementalVisited = 0] ,[totalVisited = 42663] 
[time=24]:[N=131072 current nodes UP],[Susceptible= 33],[remove = 90509], [ incrementalVisited = 0] ,[totalVisited = 40530] 
[time=25]:[N=131072 current nodes UP],[Susceptible= 32],[remove = 92536], [ incrementalVisited = 0] ,[totalVisited = 38504] 
[time=26]:[N=131072 current nodes UP],[Susceptible= 31],[remove = 94462], [ incrementalVisited = 0] ,[totalVisited = 36579] 
[time=27]:[N=131072 current nodes UP],[Susceptible= 30],[remove = 96291], [ incrementalVisited = 0] ,[totalVisited = 34751] 
[time=28]:[N=131072 current nodes UP],[Susceptible= 29],[remove = 98029], [ incrementalVisited = 0] ,[totalVisited = 33014] 
[time=29]:[N=131072 current nodes UP],[Susceptible= 28],[remove = 99680], [ incrementalVisited = 0] ,[totalVisited = 31364] 
[time=30]:[N=131072 current nodes UP],[Susceptible= 27],[remove = 101249], [ incrementalVisited = 0] ,[totalVisited = 29796] 
[time=31]:[N=131072 current nodes UP],[Susceptible= 26],[remove = 102739], [ incrementalVisited = 0] ,[totalVisited = 28307] 
[time=32]:[N=131072 current nodes UP],[Susceptible= 25],[remove = 104155], [ incrementalVisited = 0] ,[totalVisited = 26892] 
[time=33]:[N=131072 current nodes UP],[Susceptible= 24],[remove = 105500], [ incrementalVisited = 0] ,[totalVisited = 25548] 
[time=34]:[N=131072 current nodes UP],[Susceptible= 23],[remove = 106778], [ incrementalVisited = 0] ,[totalVisited = 24271] 
[time=35]:[N=131072 current nodes UP],[Susceptible= 22],[remove = 107992], [ incrementalVisited = 0] ,[totalVisited = 23058] 
[time=36]:[N=131072 current nodes UP],[Susceptible= 21],[remove = 109145], [ incrementalVisited = 0] ,[totalVisited = 21906] 
[time=37]:[N=131072 current nodes UP],[Susceptible= 20],[remove = 110241], [ incrementalVisited = 0] ,[totalVisited = 20811] 
[time=38]:[N=131072 current nodes UP],[Susceptible= 19],[remove = 111282], [ incrementalVisited = 0] ,[totalVisited = 19771] 
[time=39]:[N=131072 current nodes UP],[Susceptible= 18],[remove = 112271], [ incrementalVisited = 0] ,[totalVisited = 18783] 
[time=40]:[N=131072 current nodes UP],[Susceptible= 17],[remove = 113211], [ incrementalVisited = 0] ,[totalVisited = 17844] 
[time=41]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 114104], [ incrementalVisited = 0] ,[totalVisited = 16952] 
[time=42]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 114951], [ incrementalVisited = 0] ,[totalVisited = 16105] 
[time=43]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 115756], [ incrementalVisited = 0] ,[totalVisited = 15300] 
[time=44]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 116521], [ incrementalVisited = 0] ,[totalVisited = 14535] 
[time=45]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 117247], [ incrementalVisited = 0] ,[totalVisited = 13809] 
[time=46]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 117937], [ incrementalVisited = 0] ,[totalVisited = 13119] 
[time=47]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 118592], [ incrementalVisited = 0] ,[totalVisited = 12464] 
[time=48]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 119215], [ incrementalVisited = 0] ,[totalVisited = 11841] 
[time=49]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 119807], [ incrementalVisited = 0] ,[totalVisited = 11249] 
[time=50]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120369], [ incrementalVisited = 0] ,[totalVisited = 10687] 
[time=51]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120903], [ incrementalVisited = 0] ,[totalVisited = 10153] 
[time=52]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121410], [ incrementalVisited = 0] ,[totalVisited = 9646] 
[time=53]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121892], [ incrementalVisited = 0] ,[totalVisited = 9164] 
[time=54]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 122350], [ incrementalVisited = 0] ,[totalVisited = 8706] 
[time=55]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 122785], [ incrementalVisited = 0] ,[totalVisited = 8271] 
[time=56]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123198], [ incrementalVisited = 0] ,[totalVisited = 7858] 
[time=57]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123590], [ incrementalVisited = 0] ,[totalVisited = 7466] 
[time=58]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123963], [ incrementalVisited = 0] ,[totalVisited = 7093] 
[time=59]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124317], [ incrementalVisited = 0] ,[totalVisited = 6739] 
[time=60]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124653], [ incrementalVisited = 0] ,[totalVisited = 6403] 
[time=61]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124973], [ incrementalVisited = 0] ,[totalVisited = 6083] 
[time=62]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125277], [ incrementalVisited = 0] ,[totalVisited = 5779] 
[time=63]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125565], [ incrementalVisited = 0] ,[totalVisited = 5491] 
[time=64]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125839], [ incrementalVisited = 0] ,[totalVisited = 5217] 
[time=65]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126099], [ incrementalVisited = 0] ,[totalVisited = 4957] 
[time=66]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126346], [ incrementalVisited = 0] ,[totalVisited = 4710] 
