[time=2]:[N=65536 current nodes UP],[Susceptible= 65535],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=65536 current nodes UP],[Susceptible= 65523],[remove = 0], [ incrementalVisited = 12] ,[totalVisited = 13] 
[time=4]:[N=65536 current nodes UP],[Susceptible= 63891],[remove = 1572], [ incrementalVisited = 60] ,[totalVisited = 73] 
[time=5]:[N=65536 current nodes UP],[Susceptible= 61295],[remove = 3797], [ incrementalVisited = 373] ,[totalVisited = 444] 
[time=6]:[N=65536 current nodes UP],[Susceptible= 55645],[remove = 6645], [ incrementalVisited = 2819] ,[totalVisited = 3246] 
[time=7]:[N=65536 current nodes UP],[Susceptible= 34868],[remove = 9830], [ incrementalVisited = 17739] ,[totalVisited = 20838] 
[time=8]:[N=65536 current nodes UP],[Susceptible= 2222],[remove = 12932], [ incrementalVisited = 30575] ,[totalVisited = 50382] 
[time=9]:[N=65536 current nodes UP],[Susceptible= 17],[remove = 15570], [ incrementalVisited = 2073] ,[totalVisited = 49949] 
[time=10]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 18030], [ incrementalVisited = 3] ,[totalVisited = 47493] 
[time=11]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 20342], [ incrementalVisited = 0] ,[totalVisited = 45181] 
[time=12]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 22503], [ incrementalVisited = 0] ,[totalVisited = 43020] 
[time=13]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 24578], [ incrementalVisited = 0] ,[totalVisited = 40945] 
[time=14]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 26563], [ incrementalVisited = 0] ,[totalVisited = 38960] 
[time=15]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 28468], [ incrementalVisited = 0] ,[totalVisited = 37055] 
[time=16]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 30292], [ incrementalVisited = 0] ,[totalVisited = 35231] 
[time=17]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 31895], [ incrementalVisited = 0] ,[totalVisited = 33628] 
[time=18]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 33240], [ incrementalVisited = 0] ,[totalVisited = 32283] 
[time=19]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 34386], [ incrementalVisited = 0] ,[totalVisited = 31137] 
[time=20]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 35351], [ incrementalVisited = 0] ,[totalVisited = 30172] 
[time=21]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 36120], [ incrementalVisited = 0] ,[totalVisited = 29403] 
[time=22]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 36678], [ incrementalVisited = 0] ,[totalVisited = 28845] 
[time=23]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 37081], [ incrementalVisited = 0] ,[totalVisited = 28442] 
[time=24]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 37379], [ incrementalVisited = 0] ,[totalVisited = 28144] 
[time=25]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 37660], [ incrementalVisited = 0] ,[totalVisited = 27863] 
[time=26]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 37966], [ incrementalVisited = 0] ,[totalVisited = 27557] 
[time=27]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 38379], [ incrementalVisited = 0] ,[totalVisited = 27144] 
[time=28]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 38921], [ incrementalVisited = 0] ,[totalVisited = 26602] 
[time=29]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 39692], [ incrementalVisited = 0] ,[totalVisited = 25831] 
[time=30]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 40686], [ incrementalVisited = 0] ,[totalVisited = 24837] 
[time=31]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 41816], [ incrementalVisited = 0] ,[totalVisited = 23707] 
[time=32]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 42989], [ incrementalVisited = 0] ,[totalVisited = 22534] 
[time=33]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 44110], [ incrementalVisited = 0] ,[totalVisited = 21413] 
[time=34]:[N=65536 current nodes UP],[Susceptible= 13],[remove = 45164], [ incrementalVisited = 0] ,[totalVisited = 20359] 
