[time=2]:[N=262144 current nodes UP],[Susceptible= 262143],[remove = 0], [ incrementalVisited = 1] ,[totalVisited = 1] 
[time=3]:[N=262144 current nodes UP],[Susceptible= 262129],[remove = 0], [ incrementalVisited = 14] ,[totalVisited = 15] 
[time=4]:[N=262144 current nodes UP],[Susceptible= 255768],[remove = 6291], [ incrementalVisited = 70] ,[totalVisited = 85] 
[time=5]:[N=262144 current nodes UP],[Susceptible= 246425],[remove = 15193], [ incrementalVisited = 443] ,[totalVisited = 526] 
[time=6]:[N=262144 current nodes UP],[Susceptible= 231403],[remove = 26597], [ incrementalVisited = 3638] ,[totalVisited = 4144] 
[time=7]:[N=262144 current nodes UP],[Susceptible= 189008],[remove = 39419], [ incrementalVisited = 29761] ,[totalVisited = 33717] 
[time=8]:[N=262144 current nodes UP],[Susceptible= 53228],[remove = 52314], [ incrementalVisited = 124553] ,[totalVisited = 156602] 
[time=9]:[N=262144 current nodes UP],[Susceptible= 447],[remove = 63281], [ incrementalVisited = 49604] ,[totalVisited = 198416] 
[time=10]:[N=262144 current nodes UP],[Susceptible= 29],[remove = 73078], [ incrementalVisited = 392] ,[totalVisited = 189037] 
[time=11]:[N=262144 current nodes UP],[Susceptible= 28],[remove = 82285], [ incrementalVisited = 0] ,[totalVisited = 179831] 
[time=12]:[N=262144 current nodes UP],[Susceptible= 27],[remove = 90890], [ incrementalVisited = 0] ,[totalVisited = 171227] 
[time=13]:[N=262144 current nodes UP],[Susceptible= 26],[remove = 99152], [ incrementalVisited = 0] ,[totalVisited = 162966] 
[time=14]:[N=262144 current nodes UP],[Susceptible= 25],[remove = 107056], [ incrementalVisited = 0] ,[totalVisited = 155063] 
[time=15]:[N=262144 current nodes UP],[Susceptible= 24],[remove = 114639], [ incrementalVisited = 0] ,[totalVisited = 147481] 
[time=16]:[N=262144 current nodes UP],[Susceptible= 23],[remove = 121903], [ incrementalVisited = 0] ,[totalVisited = 140218] 
[time=17]:[N=262144 current nodes UP],[Susceptible= 22],[remove = 128283], [ incrementalVisited = 0] ,[totalVisited = 133839] 
[time=18]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 133637], [ incrementalVisited = 0] ,[totalVisited = 128486] 
[time=19]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 138198], [ incrementalVisited = 0] ,[totalVisited = 123925] 
[time=20]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 142039], [ incrementalVisited = 0] ,[totalVisited = 120084] 
[time=21]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 145101], [ incrementalVisited = 0] ,[totalVisited = 117022] 
[time=22]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 147324], [ incrementalVisited = 0] ,[totalVisited = 114799] 
[time=23]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 148931], [ incrementalVisited = 0] ,[totalVisited = 113192] 
[time=24]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 150119], [ incrementalVisited = 0] ,[totalVisited = 112004] 
[time=25]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 151239], [ incrementalVisited = 0] ,[totalVisited = 110884] 
[time=26]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 152458], [ incrementalVisited = 0] ,[totalVisited = 109665] 
[time=27]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 154102], [ incrementalVisited = 0] ,[totalVisited = 108021] 
[time=28]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 156262], [ incrementalVisited = 0] ,[totalVisited = 105861] 
[time=29]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 159331], [ incrementalVisited = 0] ,[totalVisited = 102792] 
[time=30]:[N=262144 current nodes UP],[Susceptible= 21],[remove = 163288], [ incrementalVisited = 0] ,[totalVisited = 98835] 
[time=31]:[N=262144 current nodes UP],[Susceptible= 20],[remove = 167785], [ incrementalVisited = 0] ,[totalVisited = 94339] 
[time=32]:[N=262144 current nodes UP],[Susceptible= 19],[remove = 172455], [ incrementalVisited = 0] ,[totalVisited = 89670] 
[time=33]:[N=262144 current nodes UP],[Susceptible= 18],[remove = 176917], [ incrementalVisited = 0] ,[totalVisited = 85209] 
[time=34]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 181114], [ incrementalVisited = 0] ,[totalVisited = 81013] 
[time=35]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 185059], [ incrementalVisited = 0] ,[totalVisited = 77068] 
[time=36]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 188746], [ incrementalVisited = 0] ,[totalVisited = 73381] 
[time=37]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 192286], [ incrementalVisited = 0] ,[totalVisited = 69841] 
[time=38]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 195673], [ incrementalVisited = 0] ,[totalVisited = 66454] 
[time=39]:[N=262144 current nodes UP],[Susceptible= 17],[remove = 198922], [ incrementalVisited = 0] ,[totalVisited = 63205] 
[time=40]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 202035], [ incrementalVisited = 0] ,[totalVisited = 60093] 
[time=41]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 204769], [ incrementalVisited = 0] ,[totalVisited = 57359] 
[time=42]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 207063], [ incrementalVisited = 0] ,[totalVisited = 55065] 
[time=43]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 209017], [ incrementalVisited = 0] ,[totalVisited = 53111] 
[time=44]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 210663], [ incrementalVisited = 0] ,[totalVisited = 51465] 
[time=45]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 211975], [ incrementalVisited = 0] ,[totalVisited = 50153] 
[time=46]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 212927], [ incrementalVisited = 0] ,[totalVisited = 49201] 
[time=47]:[N=262144 current nodes UP],[Susceptible= 16],[remove = 213615], [ incrementalVisited = 0] ,[totalVisited = 48513] 
