[time=51]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 107892], [ incrementalVisited = 0] ,[totalVisited = 23164] 
[time=52]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 108355], [ incrementalVisited = 0] ,[totalVisited = 22701] 
[time=53]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 109013], [ incrementalVisited = 0] ,[totalVisited = 22043] 
[time=54]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 109861], [ incrementalVisited = 0] ,[totalVisited = 21195] 
[time=55]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 110825], [ incrementalVisited = 0] ,[totalVisited = 20231] 
[time=56]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 111826], [ incrementalVisited = 0] ,[totalVisited = 19230] 
[time=57]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 112782], [ incrementalVisited = 0] ,[totalVisited = 18274] 
[time=58]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 113681], [ incrementalVisited = 0] ,[totalVisited = 17375] 
[time=59]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 114527], [ incrementalVisited = 0] ,[totalVisited = 16529] 
[time=60]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 115317], [ incrementalVisited = 0] ,[totalVisited = 15739] 
[time=61]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 116076], [ incrementalVisited = 0] ,[totalVisited = 14980] 
[time=62]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 116802], [ incrementalVisited = 0] ,[totalVisited = 14254] 
[time=63]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 117499], [ incrementalVisited = 0] ,[totalVisited = 13557] 
[time=64]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 118166], [ incrementalVisited = 0] ,[totalVisited = 12890] 
[time=65]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 118752], [ incrementalVisited = 0] ,[totalVisited = 12304] 
[time=66]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 119244], [ incrementalVisited = 0] ,[totalVisited = 11812] 
