[time=51]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=52]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=53]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=54]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=55]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=56]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=57]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=58]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=59]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=60]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=61]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=62]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=63]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=64]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=65]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=66]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=67]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=68]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=69]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=70]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=71]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=72]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=73]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=74]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=75]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=76]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=77]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=78]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
[time=79]:[N=32768 current nodes UP],[Susceptible= 0],[remove = 0], [ incrementalVisited = 0] ,[totalVisited = 32768] 
